city,starbucks_count
albany,11
amherst,5
amityville,2
amsterdam,1
ardsley,1
astoria,5
babylon,1
baldwin harbor,1
batavia,1
bay shore,3
bayport,1
bayside,1
bellerose,1
bethpage,1
big flats,1
binghamton,2
blasdell,1
bohemia,1
briarcliff manor,1
bridgehampton,1
brighton,1
bronx,13
bronxville,1
brookfield,1
brooklyn,37
buffalo,5
canandaigua,1
canastota,1
carmel,1
cedarhurst,1
centereach,2
central islip,1
central valley,1
chappaqua,1
cheektowaga,4
cicero,1
clay,1
clifton park,3
clifton springs,1
commack,4
copiague,1
cortlandt manor,1
deer park,2
depew,2
dobbs ferry,1
east amherst,1
east greenbush,1
east hampton,1
east northport,2
east setauket,1
elmhurst,4
elmira,1
elmont,1
fairport,2
farmingdale,3
fayetteville,1
fishkill,1
flushing,4
forest hills,4
fort drum,1
franklin square,1
fredonia,1
freeport,1
fresh meadows,1
garden city,5
geneseo,1
glen cove,2
glendale,1
glenmont,1
glenville,1
great neck,2
greece,2
greenvale,1
guilderland,1
hampton bays,1
hannacroix,1
hartsdale,2
hastings on hudson,1
hauppauge,1
henrietta,2
hewlett,1
hicksville,2
howard beach,1
huntington,2
huntington station,2
irondequoit,1
island park,1
islandia,1
islip,1
ithaca,3
jackson heights,1
jamaica,9
jamestown,1
jericho,1
kew gardens,1
kingston,2
lake grove,2
lake placid,1
lancaster,1
larchmont,1
latham,5
levittown,3
little falls,1
little neck,1
liverpool,1
long beach,2
loudonville,1
lynbrook,1
malta,1
mamaroneck,1
manhasset,2
manhattan,1
manorville,1
massapequa,2
mattituck,1
medford,3
melville,2
merrick,1
middletown,2
miller place,1
monroe,1
mount kisco,1
mount vernon,1
mt kisco,1
nanuet,3
nesconset,1
new city,1
new hyde park,2
new paltz,2
new rochelle,3
new york,232
newburgh,2
niagara falls,3
niskayuna,1
north babylon,1
north merrick,1
northport,1
nyack,1
oakdale,1
oceanside,2
oneonta,1
orchard park,1
ossining,1
patchogue,1
patterson,1
pattersonville,1
penfield,1
pittsford,1
plainview,1
plattekill,1
plattsburg,1
plattsburgh,1
pleasantville,1
port chester,1
port jefferson,1
port washington,2
poughkeepsie,4
purchase,1
queensbury,2
rego park,2
rensselaer,1
rhinebeck,1
richmond hill,1
ridgewood,1
riverhead,3
rochester,8
rockville center,1
ronkonkoma,1
roslyn heights,1
ruby,1
rye,1
saratoga,1
saratoga springs,3
sayville,2
scarsdale,3
schenectady,1
scotia,1
selden,1
setauket,1
slingerlands,1
sloatsburg,1
smithtown,1
somers,1
southampton,1
staten island,10
stony brook,4
suffern,1
sunnyside,1
syosset,1
syracuse,7
troy,1
tuckahoe,1
uniondale,1
valley stream,2
vestal,3
victor,3
w. hempstead,1
wantagh,1
watertown,2
webster,2
west babylon,1
west nyack,3
west point,1
westbury,3
westmoreland,1
white plains,3
whitestone,1
williamsville,2
woodbury,1
woodside,1
yonkers,6
yorktown heights,1
Grand Total,645
