,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_identity_verified,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_l30d,review_scores_rating,instant_bookable,reviews_per_month,name_length,description_length,host_about_length,verifications_length,amenities_length,host_since_days,first_reviews_days,last_review_days,price_per_accommodates,has_Hair_dryer,flag
5045,1.0,0.86,0.0,5.0,1.0,40.77635,-73.95616,4.0,2.0,3.0,500.0,14.0,365.0,39.0,0.0,96.0,0.0,0.63,6.0,177.0,87.0,8.0,31.0,2156.0,1861.0,496.0,125.0,1.0,1
6538,1.0,0.97,0.0,6.0,0.0,40.81387,-73.88797,1.0,1.0,1.0,40.0,30.0,45.0,21.0,0.0,93.0,1.0,0.32,8.0,170.0,62.0,3.0,26.0,2111.0,1965.0,57.0,40.0,1.0,1
10010,1.0,0.7,1.0,2.0,1.0,40.70085,-73.81284000000001,4.0,1.0,2.0,59.0,30.0,90.0,28.0,0.0,96.0,0.0,0.49,9.0,169.0,116.0,4.0,23.0,1760.0,1726.0,347.0,14.75,1.0,1
9765,1.0,0.79,0.0,7.0,1.0,40.6703,-73.94209000000001,5.0,1.0,4.0,38.0,30.0,365.0,129.0,0.0,90.0,0.0,2.18,6.0,154.0,13.0,6.0,37.0,3933.0,1777.0,94.0,7.6,1.0,1
22757,0.67,0.25,0.0,2.0,0.0,40.72274,-73.84524,2.0,1.0,2.0,40.0,5.0,180.0,4.0,0.0,90.0,0.0,0.19,7.0,147.0,45.0,5.0,29.0,3344.0,641.0,608.0,20.0,1.0,1
1878,1.0,0.6,0.0,1.0,1.0,40.661390000000004,-73.96027,1.0,1.0,1.0,50.0,5.0,16.0,29.0,0.0,96.0,0.0,0.32,7.0,177.0,152.0,6.0,25.0,2705.0,2691.0,400.0,50.0,1.0,1
15840,0.95,0.99,1.0,50.0,1.0,40.74905,-73.97622,4.0,1.0,2.0,80.0,30.0,365.0,3.0,0.0,100.0,1.0,0.09,7.0,157.0,6.0,4.0,24.0,1424.0,965.0,48.0,20.0,1.0,1
11968,1.0,0.83,0.0,3.0,1.0,40.656259999999996,-74.00281,1.0,1.0,1.0,60.0,2.0,1125.0,40.0,0.0,100.0,0.0,0.75,9.0,113.0,73.0,6.0,21.0,1782.0,1595.0,334.0,60.0,1.0,1
22675,0.9,0.97,1.0,3.0,1.0,40.68916,-73.97762,4.0,1.0,2.0,156.0,30.0,182.0,69.0,0.0,99.0,0.0,2.94,8.0,107.0,31.0,5.0,23.0,892.0,702.0,67.0,39.0,1.0,1
19600,1.0,0.74,0.0,3.0,1.0,40.58195,-73.95733,2.0,1.0,1.0,45.0,2.0,30.0,68.0,0.0,96.0,0.0,2.23,8.0,171.0,136.0,8.0,16.0,1578.0,915.0,61.0,22.5,0.0,1
